original_title,rule_based_label,llm_label,llm_major_group,llm_ssoc_code,llm_ssoc_occupation_title,llm_confidence,llm_votes,llm_reasoning,validation_status,prompt_version
CHEF,NONE,T,3,34341,Chef (excluding pastry chef),0.95,3,Chef is classified under Group 3 Associate Professionals and Technicians as per the candidate SSOC codes provided.,LLM_ONLY,v1.2
SR MKTG MGR,NONE,PME,1,12201,Sales and Marketing Manager,0.93,3,"SR MKTG MGR (Senior Marketing Manager) contains 'Manager' in title and represents a managerial role, placing it in Group 1 under Legislators, Senior Officials and Managers.",LLM_ONLY,v1.2
-,NA,NA,X,X0000,Not Applicable,1.0,3,"The occupation title is a dash/hyphen which indicates blank or unknown information, falling under NA category.",AGREE,v1.2
CHIEF TECHNOLOGY OFFICER,NONE,PME,1,13301,Chief information officer/Chief technology officer/Chief information security officer,1.0,3,Chief Technology Officer is explicitly listed under SSOC code 13301 and falls under Group 1 as a senior official/C-level executive position.,LLM_ONLY,v1.2
MECHANICAL TECHNICIAN,NONE,T,3,31151,Mechanical engineering technician,0.95,3,Mechanical Technician contains 'Technician' in title and directly matches the mechanical engineering technician role under Group 3.,LLM_ONLY,v1.2
ARCHITECT,NONE,PME,2,21610,Building architect,0.85,3,"Architect is a professional occupation requiring specialized qualifications and falls under Group 2 Professionals, with building architect being the most common architectural role.",LLM_ONLY,v1.2
RETIRED,NA,NA,X,X0000,Not Applicable,1.0,3,RETIRED is explicitly listed as a status that should be classified as NA according to the classification rules.,AGREE,v1.2
BUS DRIVER,RNF,RNF,8,83311,Bus driver,1.0,3,"Bus driver is explicitly classified under Group 8 as a plant and machine operator, with a direct match in the candidate SSOC codes.",AGREE,v1.2
GENERAL WORKER,NONE,RNF,9,96101,General waste collection/recycling/material recovery worker,0.75,3,"General worker is a non-specific labourer role that falls under Group 9 for general labourers and related workers, with waste collection being the closest match from available codes.",LLM_ONLY,v1.2
SECURITY GUARD,NONE,RNF,5,54144,Private security officer,0.98,3,"Security guard is a service worker role that falls under Group 5, matching the private security officer classification in the candidate list.",LLM_ONLY,v1.2
ASST STORE KEEPER,NONE,RNF,4,43212,Storekeeper,0.95,3,Assistant Storekeeper follows the base occupation 'Storekeeper' which is a clerical support role under Group 4.,LLM_ONLY,v1.2
PRESCHOOL TEACHER,NONE,T,3,36100,Preschool education teacher,1.0,3,"Preschool teachers are classified under Group 3 as Associate Professionals and Technicians, with a specific SSOC code 36100 for preschool education teachers.",LLM_ONLY,v1.2
MAINT FITTER,NONE,RNF,7,72390,Machinery mechanic/fitter/repairer n.e.c.,0.85,3,"Maintenance fitter is a craftsman role involving mechanical fitting and repair work, falling under Group 7 RNF category.",LLM_ONLY,v1.2
LOGISTIC SUPVR,NONE,PME,1,13241,Supply and distribution/Logistics/Warehousing manager,0.9,3,"LOGISTIC SUPVR (Logistics Supervisor) is a supervisory/managerial role in logistics operations, falling under Group 1 Managers as supervisors with managerial responsibilities.",LLM_ONLY,v1.2
STALL VENDOR,RNF,RNF,5,52110,Hawker/Stall holder (excluding prepared food and drinks),0.85,3,"Stall vendor is a sales worker operating a stall, classified under Group 5 Services and Sales Workers, with the general stall holder code used as the specific type of goods sold is not specified.",AGREE,v1.2
GRAPHIC DESIGNER,NONE,PME,2,21661,Graphic designer,1.0,3,Graphic designer is explicitly listed as a professional occupation under Group 2 and matches the candidate SSOC code 21661 exactly.,LLM_ONLY,v1.2
PASTOR,PME,PME,2,26361,Minister of religion,0.98,3,"Pastor is a religious leader and minister of religion, classified under Group 2 Professionals as it requires specialized theological knowledge and professional qualifications.",AGREE,v1.2
CIVIL ENGINEER,NONE,PME,2,21421,Civil engineer,1.0,3,"Civil Engineer is a professional occupation requiring specialized engineering qualifications and falls under Group 2 Professionals, with an exact match in the candidate SSOC codes.",LLM_ONLY,v1.2
MANICURIST,NONE,RNF,5,51422,Manicurist,1.0,3,"Manicurist is a personal service worker providing nail care services, classified under Group 5 Services and Sales Workers.",LLM_ONLY,v1.2
FINANACE ANALYST,NONE,PME,2,24131,Financial analyst,0.98,3,"Despite the misspelling of 'FINANACE', this clearly refers to a Financial Analyst which is a professional role under Group 2 requiring specialized financial knowledge and qualifications.",LLM_ONLY,v1.2
ENVIRONMENTAL ENGINEER,NONE,PME,2,21430,Environmental engineer,1.0,3,Environmental Engineer is explicitly listed as a professional occupation under Group 2 and matches the candidate SSOC code 21430 exactly.,LLM_ONLY,v1.2
ELECTRICIAN,NONE,RNF,7,74110,Electrician,1.0,3,Electrician is explicitly listed under Group 7 Craftsmen and Related Trades Workers and matches the provided candidate SSOC code 74110.,LLM_ONLY,v1.2
SR CUST SVC EXEC,NONE,T,3,33222,After sales adviser/Client account service executive,0.85,3,"Senior Customer Service Executive falls under Group 3 as a client account service executive role, which is an associate professional position handling customer service and account management.",LLM_ONLY,v1.2
ASST ACCTS MGR,NONE,PME,1,12201,Sales and Marketing Manager,0.85,3,"Assistant Accounts Manager contains 'Manager' in title and involves managerial responsibilities in accounts/finance, placing it in Group 1 Managers.",LLM_ONLY,v1.2
NW ENGR,NONE,PME,2,21600,"Architect, Engineer and Related Professional",0.85,3,NW ENGR (Network Engineer) contains 'ENGR' (Engineer) which defaults to PME Group 2 Professionals as per classification rules.,LLM_ONLY,v1.2
PRINCIPAL,NONE,PME,1,13491,Principal,0.867,3,"Principal is a senior management position in educational institutions, falling under Group 1 as a senior official responsible for overall school operations and leadership.",LLM_ONLY,v1.2
SNR SOFTWARE ENGR,NONE,PME,2,25121,Software developer,0.95,3,"Senior Software Engineer is a professional-level position requiring specialized knowledge in software development, and 'Senior' prefix follows the base occupation's classification as PME Group 2.",LLM_ONLY,v1.2
DECK OFFICER,NONE,T,3,31529,Ship's deck officer/pilot n.e.c.,0.9,3,"Deck officer refers to a ship's deck officer, which falls under Group 3 Associate Professionals and Technicians as a maritime technical role.",LLM_ONLY,v1.2
HAIRDRESSER,NONE,RNF,5,51411,Hair stylist/Hairdresser,1.0,3,Hairdresser is explicitly listed under Group 5 Services and Sales Workers and matches the candidate SSOC code 51411.,LLM_ONLY,v1.2
SYSTEMS ENGINEER,NONE,PME,2,21526,Embedded systems engineer,0.85,3,"Systems Engineer contains 'Engineer' in title and falls under Group 2 Professionals, with embedded systems engineer being the closest match from the candidate list for general systems engineering work.",LLM_ONLY,v1.2
PROCESS TECHNICIAN,NONE,T,3,31173,Process engineering technician,0.9,3,"Process Technician falls under Group 3 as technicians are explicitly classified as associate professionals, and the title directly matches the process engineering technician category.",LLM_ONLY,v1.2
INVESTMENT ANALYST,NONE,PME,2,24131,Financial analyst,0.97,3,Investment analyst is a professional role that analyzes financial investments and falls directly under financial analyst classification in Group 2 Professionals.,LLM_ONLY,v1.2
HVAC TECHNICIAN,NONE,T,3,31152,Air-conditioning/Refrigeration engineering technician,0.98,3,"HVAC (Heating, Ventilation, and Air Conditioning) technician directly corresponds to air-conditioning/refrigeration engineering technician under Group 3.",LLM_ONLY,v1.2
ELECTRICAL TECHNICIAN,NONE,T,3,31131,Electrical engineering technician,0.98,3,Electrical Technician directly matches the technician classification rule and corresponds to electrical engineering technician under Group 3.,LLM_ONLY,v1.2
BUILDING TECHNICIAN,NONE,T,3,31122,Building technician,1.0,3,"Building technician is explicitly listed in the candidate codes under Group 3 Associate Professionals and Technicians, and the title 'technician' indicates T classification by default.",LLM_ONLY,v1.2
HR EXEC,NONE,PME,2,24233,Personnel/Human resource officer,0.9,3,"HR EXEC (Human Resources Executive) is a professional-level HR role that falls under Group 2 Professionals, matching the personnel/human resource officer classification.",LLM_ONLY,v1.2
COMPLIANCE OFFICER,NONE,PME,2,24132,Compliance officer/Risk analyst (financial),0.9,3,"Compliance officer is a professional role requiring specialized knowledge and falls under Group 2 Professionals, with the candidate code 24132 being the most appropriate match.",LLM_ONLY,v1.2
MAINT TECH,NONE,T,3,31295,Airport maintenance technician,0.75,3,"MAINT TECH (Maintenance Technician) falls under Group 3 as technicians are classified as associate professionals, with airport maintenance technician being the closest match from available codes.",LLM_ONLY,v1.2
OFFICER,NONE,NA,X,X0000,Not Applicable,0.1,3,"The title 'OFFICER' is too generic without context to determine the specific occupation type, as it could refer to positions ranging from PME (HR Officer) to T (Immigration Officer) to RNF (Security Officer).",NEEDS_REVIEW,v1.2
STRATEGY CONSULTANT,NONE,PME,2,24211,Management consultant,0.92,3,"Strategy consultant is a specialized type of management consultant, providing professional advisory services on organizational strategy and falls under Group 2 Professionals.",LLM_ONLY,v1.2
HOUSEKEEPING ATTENDANT,NONE,RNF,9,91121,Housekeeping/Linen room attendant,0.98,3,"Housekeeping attendant directly matches the SSOC code 91121 for housekeeping/linen room attendant, classified under Group 9 cleaners and related workers.",LLM_ONLY,v1.2
CHEMICAL TECHNICIAN,NONE,T,3,31111,Chemistry technician,0.95,3,"Chemical technician is a technician-level role that falls under Group 3 Associate Professionals and Technicians, matching the chemistry technician classification.",LLM_ONLY,v1.2
AREA MANAGER,NONE,PME,1,11203,Chief operating officer/General manager,0.85,3,"Area Manager is a managerial position overseeing operations across a geographical area, falling under Group 1 as per the rule that 'Manager' in title defaults to PME Group 1, with General Manager being the closest match.",LLM_ONLY,v1.2
RECPTIONIST,NONE,RNF,4,42231,Receptionist,0.98,3,"Receptionist (misspelled as 'RECPTIONIST') is a clerical support role under Group 4, handling front desk and administrative duties.",LLM_ONLY,v1.2
OPERATOR,NONE,NA,X,X0000,Not Applicable,0.1,3,"The title 'OPERATOR' is too generic without context to determine the specific type of operation (machine, plant, computer, etc.) and therefore cannot be reliably classified into any specific occupational group.",NEEDS_REVIEW,v1.2
AUDITOR,NONE,PME,2,24112,Auditor (accounting),0.9,3,"Auditor is a professional occupation requiring specialized qualifications in accounting and auditing, falling under Group 2 Professionals.",LLM_ONLY,v1.2
DEVOPS ENGINEER,NONE,PME,2,25125,DevOps engineer,1.0,3,DevOps Engineer is explicitly listed in the candidate SSOC codes as a professional IT role under Group 2 Professionals.,LLM_ONLY,v1.2
BEAUTICIAN,NONE,RNF,5,51421,Beautician,1.0,3,"Beautician is a service worker role that falls under Group 5 Services and Sales Workers, with an exact match in the candidate SSOC codes.",LLM_ONLY,v1.2
DATA SCIENTIST,NONE,PME,2,21222,Data scientist,1.0,3,"Data scientist is explicitly listed as a professional occupation requiring advanced analytical and technical expertise, matching SSOC code 21222 exactly.",LLM_ONLY,v1.2
FOOD STALL ASSISTANT,NONE,RNF,9,94102,Food/Drink stall assistant,1.0,3,"Food stall assistant is a support role in food service operations, classified under Group 9 as it involves assisting with basic food preparation and service tasks.",LLM_ONLY,v1.2
SPEECH THERAPIST,NONE,PME,2,22662,Speech therapist,1.0,3,Speech therapist is a healthcare professional requiring specialized professional qualifications and is explicitly listed under Group 2 Professionals.,LLM_ONLY,v1.2
WELDER,NONE,RNF,7,72120,Welder/Flame cutter,1.0,3,Welder is a skilled trades occupation that falls under Group 7 Craftsmen and Related Trades Workers.,LLM_ONLY,v1.2
